step,curLapTime,distFromStart,speedX,speedY,trackPos,angle,damage,track_block,track_block_role,front,near,openness,aim_hint,curve_urgency,track_pos_rate,projected_track_pos,tight_curve_cap,tight_curve_ticks,profile_speed,base_steer,base_target_speed,raw_delta_steer,raw_delta_speed,delta_steer,delta_speed,confidence,neighbor_distance,target_speed,governed_steer,filtered_steer_target,actuator_steer,front_wheel_speed,rear_wheel_speed,abs_slip,traction_slip,final_steer,final_accel,final_brake,final_gear,state,interventions,inference_ms
0,-0.982,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-24.000338343133617,0.03232578482307235,-24.000338343133617,1.0,0.0,180.7462976708402,6.938893903907228e-18,1.942890293094024e-18,6.605826996519683e-19,0.0,0.0,0.002536236111111111,0.0,6.605826996519683e-19,0.2,0.0,1,NORMAL,performance_bonus,1.7589170020073652
5,-0.882,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-7.8655682425559865,0.03232578482307235,-7.8655682425559865,1.0,0.0,196.88106777141783,6.938893903907228e-18,5.972208356297415e-18,4.7612799985508055e-18,0.0,0.0,0.002536236111111111,0.0,4.7612799985508055e-18,0.7378560000000001,0.0,1,NORMAL,performance_bonus,1.6526669933227822
10,-0.782,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-2.5785267759987107,0.03232578482307235,-2.5785267759987107,1.0,0.0,202.1681092379751,6.938893903907228e-18,6.7518482128402484e-18,6.396967416415334e-18,0.0,0.0,0.002536236111111111,0.0,6.396967416415334e-18,0.9141006540800001,0.0,1,NORMAL,performance_bonus,1.3593750045401976
15,-0.682,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.8460690282372231,0.03232578482307235,-0.8460690282372231,1.0,0.0,203.9005669857366,6.938893903907228e-18,6.902702103343716e-18,6.818935450346195e-18,0.0,0.0,0.002536236111111111,0.0,6.818935450346195e-18,0.9718525023289344,0.0,1,NORMAL,performance_bonus,1.3805839989800006
20,-0.582,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.27837727345073615,0.03232578482307235,-0.27837727345073615,1.0,0.0,204.46825874052308,6.938893903907228e-18,6.931891088602811e-18,6.913791891247652e-18,0.0,0.0,0.002536236111111111,0.0,6.913791891247652e-18,0.9907766279631451,0.0,1,NORMAL,performance_bonus,1.4415829937206581
25,-0.482,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.030619240986359837,-0.09235603924230174,0.030619240986359837,-0.09235603924230174,1.0,0.0,204.6542799747315,-0.0017065438367125062,-0.0012464405789614087,-0.0008117017984515456,0.0,0.0,0.002536236111111111,0.0,-0.0008117017984515456,0.9969776854509634,0.0,1,NORMAL,performance_bonus,1.3578749931184575
30,-0.382,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03204596965340495,-0.03140060121688215,0.03204596965340495,-0.03140060121688215,1.0,0.0,204.71523541275693,-0.00027981516966739395,-0.0007109176364913598,-0.0009002128673648145,0.0,0.0,0.002536236111111111,0.0,-0.0009002128673648145,0.9990096479685716,0.0,1,NORMAL,performance_bonus,1.2009999918518588
35,-0.282,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.032290742657849,-0.01142672328471317,0.032290742657849,-0.01142672328471317,1.0,0.0,204.7352092906891,-3.504216522334097e-05,-0.00019638398417786448,-0.00036725789971712454,0.0,0.0,0.002536236111111111,0.0,-0.00036725789971712454,0.9996754814463416,0.0,1,NORMAL,performance_bonus,1.3195000065024942
40,-0.182,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232139637856807,-0.004881682963897571,0.03232139637856807,-0.004881682963897571,1.0,0.0,204.74175433100993,-4.388444504274669e-06,-4.536581492270449e-05,-0.00010776480381859311,0.0,0.0,0.002536236111111111,0.0,-0.00010776480381859311,0.9998936617603371,0.0,1,NORMAL,performance_bonus,1.3425840006675571
45,-0.082,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.002655172996010829,0.03232578482307235,-0.002655172996010829,1.0,0.0,204.7439808409778,6.938893903907228e-18,-9.378767761456176e-06,-2.685481203679601e-05,0.0,0.0,0.002536236111111111,0.0,-2.685481203679601e-05,0.9999651550856272,0.0,1,NORMAL,performance_bonus,1.3235840015113354
